, Count, Minimum, Maximum, Average, Median, Standard Deviation, Variance, 25th Percentile, 75th Percentile, Avg. of Upper 25 %,  Avg. of Lower 25 %, Avg. of First 25 %, Avg. of Last 25 %, Slope, Intercept, Average Relative Error
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 11, 46, 7, 6307, 1504.8260869565217, 207, 2562.8533690604208, 6568217.3913043495, 107, 407, 5770.636363636364, 7, 5770.636363636364, 23.666666666666668, -142.88621646623497, 4719.7659574468089, 0.56002523669495052
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 12, 45, 7, 6307, 1522.5555555555557, 107, 2589.6608724586767, 6706343.4343434358, 107, 407, 5770.636363636364, 16.09090909090909, 5770.636363636364, 23.666666666666668, -147.57575757575756, 4769.2222222222226, 0.56018742037745584
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 13, 44, 7, 6307, 1563.8181818181818, 207, 2605.7537165453, 6789952.431289644, 7, 407, 5770.636363636364, 7, 5770.636363636364, 7, -153.69274136715998, 4868.212121212121, 0.57401590556311555
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 14, 50, 7, 6307, 1443, 307, 2462.847199184434, 6065616.3265306121, 107, 507, 5340.333333333333, 23.666666666666668, 5340.333333333333, 30.076923076923077, -124.82112845138055, 4501.1176470588234, 0.54583352617315428
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 15, 41, 7, 6307, 1628.9512195121952, 207, 2691.0511138885818, 7241756.0975609776, 107, 207, 6307, 7, 6307, 16.09090909090909, -170.609756097561, 5041.1463414634145, 0.5767873561863448
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 16, 48, 7, 6307, 1482, 307, 2508.4113816466529, 6292127.6595744705, 7, 507, 5340.333333333333, 7, 5340.333333333333, 7, -134.47676943117673, 4642.2040816326535, 0.56331728932249581
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 17, 49, 7, 6307, 1470.2653061224489, 307, 2480.8175632869343, 6154455.7823129231, 107, 507, 5340.333333333333, 15.333333333333334, 5340.333333333333, 37.769230769230766, -129.16326530612244, 4570.1836734693879, 0.55344340144024873
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 18, 44, 7, 6307, 1529.7272727272727, 107, 2622.6086459738094, 6878076.1099365773, 107, 307, 5761.545454545455, 16.09090909090909, 5761.545454545455, 16.09090909090909, -151.72656800563777, 4791.848484848485, 0.55225573644197068
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 19, 49, 7, 6207, 1478.4285714285713, 307, 2432.7624901196855, 5918333.3333333321, 7, 707, 5290.333333333333, 7, 5290.333333333333, 22.384615384615383, -129.69387755102042, 4591.0816326530612, 0.58026231472594669
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 20, 43, 7, 6307, 1574.4418604651162, 207, 2637.9754981201345, 6958914.7286821716, 107, 307, 6307, 7, 6307, 34.272727272727273, -158.26034430685593, 4897.909090909091, 0.56746957747928506
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 21, 50, 7, 6307, 1471, 307, 2454.9624877636174, 6026840.8163265307, 107, 707, 5373.666666666667, 23.666666666666668, 5373.666666666667, 30.076923076923077, -126.96278511404562, 4581.5882352941171, 0.568358154002125
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 22, 47, 7, 6307, 1521.8936170212767, 307, 2523.1948970376093, 6366512.4884366319, 107, 607, 5788.818181818182, 16.09090909090909, 5788.818181818182, 23.666666666666668, -139.18825161887142, 4723.2234042553191, 0.57208612277039883
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 23, 45, 7, 6307, 1640.3333333333333, 207, 2539.2375376729274, 6447727.2727272715, 107, 807, 5807, 16.09090909090909, 5807, 40.333333333333336, -151.68642951251647, 4977.434782608696, 0.61556780506788933
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 24, 43, 7, 6307, 1704.6744186046512, 307, 2574.0914598851809, 6625946.843853821, 107, 707, 6307, 57, 6307, 61.545454545454547, -160.93325279371791, 5084.2727272727279, 0.6162877244061653
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 25, 39, 7, 6307, 1694.1794871794871, 107, 2745.9232449099104, 7540094.4669365706, 7, 6307, 6307, 7, 6307, 7, -186.31578947368422, 5234.1794871794873, 0.59850238783145593
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 26, 49, 7, 6307, 1507, 307, 2468.0457856368871, 6091249.9999999991, 107, 707, 5373.666666666667, 23.666666666666668, 5373.666666666667, 30.076923076923077, -131.09183673469389, 4653.2040816326535, 0.57600958565244276
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 27, 37, 7, 6307, 1793.4864864864865, 207, 2787.1891617583879, 7768423.4234234244, 7, 6307, 6307, 7, 6307, 17, -203.34281650071125, 5453.6571834992892, 0.62363266509415982
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 28, 46, 7, 6307, 1591.7826086956522, 307, 2520.8435441163424, 6354652.1739130421, 107, 607, 5788.818181818182, 43.363636363636367, 5788.818181818182, 48.666666666666664, -143.77428307123034, 4826.7039777983346, 0.58606404839020665
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 29, 47, 7, 6307, 1500.6170212765958, 207, 2532.2617708731691, 6412349.6762257181, 7, 507, 5779.727272727273, 7, 5779.727272727273, 23.666666666666668, -139.00323774283072, 4697.6914893617022, 0.56648769995029213
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 30, 44, 7, 6307, 1641.090909090909, 207, 2572.6597567695339, 6618578.2241014782, 107, 707, 5797.909090909091, 16.09090909090909, 5797.909090909091, 25.181818181818183, -156.63847780126849, 5008.818181818182, 0.61166854315646435
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 31, 46, 7, 6307, 1504.8260869565217, 157, 2562.7666586835221, 6567772.9468599046, 107, 407, 5770.636363636364, 16.09090909090909, 5770.636363636364, 23.666666666666668, -142.78754239901326, 4717.54579093432, 0.55928986649626555
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 32, 50, 7, 6207, 1467, 307, 2406.2842894455871, 5790204.0816326533, 107, 707, 5290.333333333333, 23.666666666666668, 5290.333333333333, 30.076923076923077, -124.8499399759904, 4525.8235294117649, 0.57206020713656947
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 33, 50, 7, 6307, 1447, 307, 2460.7946285867974, 6055510.204081635, 107, 507, 5340.333333333333, 23.666666666666668, 5340.333333333333, 30.076923076923077, -124.8499399759904, 4505.8235294117649, 0.54699690606897922
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 34, 48, 7, 6307, 1511.1666666666667, 207, 2499.2729439232826, 6246365.2482269518, 7, 707, 5373.666666666667, 7, 5373.666666666667, 7, -136.21363438992617, 4712.1870748299316, 0.58219685808477362
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 35, 50, 7, 6307, 1507, 307, 2440.3077758381883, 5955102.0408163257, 107, 807, 5390.333333333333, 23.666666666666668, 5390.333333333333, 30.076923076923077, -127.73109243697479, 4636.4117647058829, 0.582187638592106
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 36, 48, 7, 6307, 1548.6666666666667, 307, 2483.4630362625226, 6167588.6524822675, 107, 807, 5390.333333333333, 23.666666666666668, 5390.333333333333, 23.666666666666668, -136.7564046895354, 4762.4421768707489, 0.594341450828088
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 37, 45, 7, 6307, 1533.6666666666667, 107, 2584.165066498093, 6677909.0909090927, 107, 407, 5770.636363636364, 16.09090909090909, 5770.636363636364, 23.666666666666668, -148.14229249011856, 4792.797101449275, 0.56690034195478112
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 38, 45, 7, 6207, 1482.5555555555557, 207, 2556.7340277957915, 6536888.88888889, 7, 407, 5679.727272727273, 7, 5679.727272727273, 7, -145.71805006587616, 4688.3526570048307, 0.560331062237207
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 39, 34, 7, 6307, 1936.4117647058824, 207, 2865.5243754894263, 8211229.9465240678, 7, 6307, 6307, 7, 6307, 7, -232.1161191749427, 5766.3277310924368, 0.65068096605446013
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 40, 48, 7, 6307, 1457, 207, 2518.1046570446174, 6340851.06382979, 107, 407, 5323.666666666667, 15.333333333333334, 5323.666666666667, 23.666666666666668, -132.88102475032565, 4579.7040816326526, 0.54580116232760778
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 41, 45, 7, 6307, 1522.5555555555557, 107, 2589.9241438133026, 6707707.0707070678, 107, 407, 5770.636363636364, 16.09090909090909, 5770.636363636364, 23.666666666666668, -147.90513833992094, 4776.4685990338166, 0.56257643277202507
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 42, 49, 7, 6207, 1445.7755102040817, 307, 2441.8927363941316, 5962840.13605442, 107, 507, 5257, 23.666666666666668, 5257, 30.076923076923077, -127.14285714285714, 4497.2040816326535, 0.55349742595154194
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 43, 45, 7, 6307, 1524.7777777777778, 307, 2588.1099534821028, 6698313.1313131331, 7, 307, 5761.545454545455, 7, 5761.545454545455, 7, -147.72068511198947, 4774.6328502415463, 0.56196113348606669
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 44, 46, 7, 6207, 1480.9130434782608, 207, 2522.3828930075629, 6362415.4589372016, 7, 407, 5679.727272727273, 7, 5679.727272727273, 15.333333333333334, -140.80789392537773, 4649.09065679926, 0.56144397339749652
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 45, 50, 7, 6307, 1467, 307, 2453.3192841952068, 6018775.5102040814, 107, 607, 5357, 23.666666666666668, 5357, 30.076923076923077, -125.81032412965186, 4549.35294117647, 0.55883468265917491
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 46, 50, 7, 6307, 1447, 307, 2460.7946285867974, 6055510.204081635, 107, 507, 5340.333333333333, 23.666666666666668, 5340.333333333333, 30.076923076923077, -124.8499399759904, 4505.8235294117649, 0.54699690606897922
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 47, 50, 7, 6307, 1487, 307, 2446.4885289837302, 5985306.1224489771, 107, 707, 5373.666666666667, 23.666666666666668, 5373.666666666667, 30.076923076923077, -126.71308523409364, 4591.4705882352937, 0.57005334375976235
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 48, 45, 7, 6307, 1582.5555555555557, 207, 2563.5695599864048, 6571888.88888889, 7, 607, 5788.818181818182, 7, 5788.818181818182, 7, -150.60606060606059, 4895.8888888888887, 0.59536566478784425
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 49, 48, 7, 6107, 1496.5833333333333, 207, 2407.4564650696543, 5795846.6312056752, 107, 807, 5223.666666666667, 15.333333333333334, 5223.666666666667, 23.666666666666668, -132.72362136343898, 4615.5884353741494, 0.595711017662931
ALPS with NSGA2 {AgeGap=100, NumberOfLayers=5} Run 50, 49, 7, 6307, 1427.408163265306, 207, 2500.4149315527561, 6252074.8299319744, 7, 407, 5323.666666666667, 7, 5323.666666666667, 37.769230769230766, -128.37755102040816, 4508.4693877551017, 0.5381939907024067
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 1, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 2, 42, 243, 6543, 2643, 243, 3096.4968404516144, 9588292.68292683, 243, 6543, 6543, 243, 6543, 243, -212.3652864435621, 6996.4883720930229, 0.7078842881452071
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 3, 41, 243, 6243, 2584.4634146341464, 243, 2963.1887899487683, 8780487.8048780467, 243, 6243, 6243, 243, 6243, 243, -209.05923344947735, 6765.6480836236933, 0.71428571428571452
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 4, 41, 243, 6543, 2701.5365853658536, 243, 3111.3482294462074, 9680487.8048780486, 243, 6543, 6543, 243, 6543, 243, -219.51219512195121, 7091.7804878048773, 0.71428571428571408
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 5, 43, 243, 6543, 2629.046511627907, 543, 3050.2600510018065, 9304086.3787375428, 243, 6543, 6543, 243, 6543, 270.27272727272725, -204.95318634853518, 6933.0634249471459, 0.71182871182871188
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 6, 43, 243, 6543, 2587.1860465116279, 243, 3081.2259716502608, 9493953.4883720931, 243, 6543, 6543, 243, 6543, 243, -205.4968287526427, 6902.6194503171246, 0.70129870129870087
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 7, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 8, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 9, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 10, 42, 243, 6543, 2643, 243, 3096.4968404516144, 9588292.68292683, 243, 6543, 6543, 243, 6543, 243, -212.3652864435621, 6996.4883720930229, 0.7078842881452071
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 11, 45, 243, 6543, 2483, 243, 3049.7689927420583, 9301090.9090909082, 243, 6543, 6543, 243, 6543, 243, -192.56916996047431, 6719.521739130435, 0.68774703557312256
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 12, 41, 243, 6243, 2584.4634146341464, 243, 2963.1887899487683, 8780487.8048780467, 243, 6243, 6243, 243, 6243, 243, -209.05923344947735, 6765.6480836236933, 0.71428571428571452
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 13, 45, 243, 6243, 2376.3333333333335, 243, 2904.5418978495791, 8436363.6363636348, 243, 6243, 6243, 243, 6243, 243, -183.399209486166, 6411.115942028986, 0.68774703557312233
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 14, 45, 243, 6543, 2523, 243, 3021.3332397229119, 9128454.5454545468, 243, 6543, 6543, 243, 6543, 243, -193.04347826086956, 6769.95652173913, 0.70420987408957525
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 15, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 16, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 17, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 18, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 19, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 20, 47, 243, 6543, 2483.4255319148938, 543, 2950.5828145335804, 8705938.9454209059, 243, 6543, 6543, 243, 6543, 243, -180.59666975023126, 6637.1489361702133, 0.70430651741492134
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 21, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 22, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 23, 43, 243, 6543, 2587.1860465116279, 243, 3081.2259716502608, 9493953.4883720931, 243, 6543, 6543, 243, 6543, 243, -205.4968287526427, 6902.6194503171246, 0.70129870129870087
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 24, 43, 243, 6543, 2587.1860465116279, 243, 3081.2259716502608, 9493953.4883720931, 243, 6543, 6543, 243, 6543, 243, -205.4968287526427, 6902.6194503171246, 0.70129870129870087
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 25, 45, 243, 6543, 2523, 243, 3021.3332397229119, 9128454.5454545468, 243, 6543, 6543, 243, 6543, 243, -192.96442687747034, 6768.217391304348, 0.70363324371531344
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 26, 47, 243, 6543, 2477.0425531914893, 543, 2955.1926734614613, 8733163.737280298, 243, 6543, 6543, 243, 6543, 243, -180.77012025901942, 6634.7553191489369, 0.70346021487325827
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 27, 43, 243, 6543, 2587.1860465116279, 243, 3081.2259716502608, 9493953.4883720931, 243, 6543, 6543, 243, 6543, 243, -205.4968287526427, 6902.6194503171246, 0.70129870129870087
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 28, 46, 243, 6543, 2493, 543, 2992.4906014890003, 8954999.9999999981, 243, 6543, 6543, 243, 6543, 243, -186.62349676225716, 6692.0286771507863, 0.70071513561916543
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 29, 48, 243, 6243, 2343, 543, 2789.6465115807177, 7782127.6595744677, 243, 6243, 6243, 243, 6243, 243, -166.73903603994791, 6261.3673469387759, 0.70021642431474174
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 30, 48, 243, 6243, 2343, 543, 2789.6465115807177, 7782127.6595744677, 243, 6243, 6243, 243, 6243, 243, -166.73903603994791, 6261.3673469387759, 0.70021642431474174
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 31, 45, 243, 6543, 2483, 243, 3049.7689927420583, 9301090.9090909082, 243, 6543, 6543, 243, 6543, 243, -192.56916996047431, 6719.521739130435, 0.68774703557312256
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 32, 45, 243, 6543, 2529.6666666666665, 543, 3016.5151477099594, 9099363.6363636386, 243, 6543, 6543, 243, 6543, 268, -192.29249011857706, 6760.101449275362, 0.700975316276021
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 33, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 34, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 35, 46, 243, 6543, 2434.304347826087, 243, 3033.7234977613839, 9203478.2608695645, 243, 6543, 6543, 243, 6543, 243, -186.49398704902868, 6630.4190564292321, 0.68085106382978733
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 36, 43, 243, 6543, 2643, 543, 3039.7368307141323, 9239999.9999999981, 243, 6543, 6543, 243, 6543, 243, -205.45152521896708, 6957.4820295983091, 0.72025561755412459
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 37, 44, 243, 6543, 2533.909090909091, 243, 3065.6247272436208, 9398054.9682875257, 243, 6543, 6543, 243, 6543, 243, -198.90063424947147, 6810.2727272727279, 0.6945736434108527
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 38, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 39, 43, 243, 6543, 2587.1860465116279, 243, 3081.2259716502608, 9493953.4883720931, 243, 6543, 6543, 243, 6543, 243, -205.4968287526427, 6902.6194503171246, 0.70129870129870087
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 40, 48, 243, 6543, 2443, 543, 2932.4305509543124, 8599148.9361702111, 243, 6543, 6543, 243, 6543, 243, -175.07598784194528, 6557.2857142857138, 0.69864052155455614
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 41, 44, 243, 6543, 2533.909090909091, 243, 3065.6247272436208, 9398054.9682875257, 243, 6543, 6543, 243, 6543, 243, -198.90063424947147, 6810.2727272727279, 0.6945736434108527
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 42, 41, 243, 6543, 2701.5365853658536, 243, 3111.3482294462074, 9680487.8048780486, 243, 6543, 6543, 243, 6543, 243, -219.51219512195121, 7091.7804878048773, 0.71428571428571408
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 43, 47, 243, 6543, 2438.744680851064, 543, 2982.4091113239388, 8894764.1073080469, 243, 6543, 6543, 243, 6543, 243, -180.90888066604995, 6599.6489361702133, 0.69174047442890918
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 44, 41, 243, 6543, 2738.1219512195121, 543, 3083.1762210026368, 9505975.6097560991, 243, 6543, 6543, 243, 6543, 270.27272727272725, -219.04181184668988, 7118.9581881533095, 0.724284600920382
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 45, 48, 243, 6543, 2411.75, 543, 2954.4885614221748, 8729002.6595744714, 243, 6543, 6543, 243, 6543, 243, -175.51563178462874, 6536.367346938775, 0.69170839872819911
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 46, 47, 243, 6543, 2387.68085106383, 243, 3017.5435237405982, 9105568.917668825, 243, 6543, 6543, 243, 6543, 243, -180.66604995374652, 6543, 0.67391304347826153
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 47, 41, 243, 6543, 2701.5365853658536, 243, 3111.3482294462074, 9680487.8048780486, 243, 6543, 6543, 243, 6543, 243, -219.51219512195121, 7091.7804878048773, 0.71428571428571408
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 48, 44, 243, 6543, 2533.909090909091, 243, 3065.6247272436208, 9398054.9682875257, 243, 6543, 6543, 243, 6543, 243, -198.90063424947147, 6810.2727272727279, 0.6945736434108527
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 49, 43, 243, 6543, 2587.1860465116279, 243, 3081.2259716502608, 9493953.4883720931, 243, 6543, 6543, 243, 6543, 243, -205.4968287526427, 6902.6194503171246, 0.70129870129870087
ALPS with NSGA2 {AgeGap=300, NumberOfLayers=3} Run 50, 47, 243, 6543, 2483.4255319148938, 543, 2950.5828145335804, 8705938.9454209059, 243, 6543, 6543, 243, 6543, 243, -180.28445883441259, 6629.968085106384, 0.70187344806624719
ALPS with NSGA2 {AgeGap=200, NumberOfLayers=5} Run 1, 48, 33, 6633, 1674.6666666666667, 633, 2581.0960341662321, 6662056.7375886505, 233, 633, 5633, 66.333333333333329, 5633, 66.333333333333329, -140.034737299175, 4965.482993197279, 0.57692493037505388
ALPS with NSGA2 {AgeGap=200, NumberOfLayers=5} Run 2, 50, 33, 6633, 1713, 633, 2509.0855314400169, 6295510.2040816322, 233, 1033, 5699.666666666667, 66.333333333333329, 5699.666666666667, 79.15384615384616, -134.45378151260505, 5007.1176470588234, 0.61020258725897
ALPS with NSGA2 {AgeGap=200, NumberOfLayers=5} Run 3, 49, 33, 6433, 1584.0204081632653, 433, 2498.84326981002, 6244217.6870748326, 33, 833, 5499.666666666667, 33, 5499.666666666667, 33, -134.89795918367346, 4821.5714285714284, 0.59500081708247077
